idx,scheduled_t_rel_s,t_rel_s,latency_s,status,ttft_s,avg_tbt_s,worst_tbt_s
65,9.269,9.270244579999598,2.7243448720000742,ok,0.07667408299948875,0.033514622936711966,0.1850074419999146
66,9.359,9.361114659999657,2.720468346999951,ok,0.11381440799959819,0.03299529502532142,0.18508355899939488
67,9.381,9.381941941999685,2.6998622439996325,ok,0.13470924099965487,0.03247012137974627,0.1849831620002078
68,9.404,9.404259562999869,2.677730346000317,ok,0.11235238000062964,0.0324729666075931,0.18530614100018283
69,9.449,9.449891512999784,2.631948449000447,ok,0.10787775500011776,0.031950087240504584,0.1849819729995943
70,9.494,9.495142722999844,2.586600358999931,ok,0.10388948600029835,0.031426517126580816,0.18370693399992888
71,9.538,9.538846729999932,2.5432147440005792,ok,0.0633518290005668,0.03139049986074946,0.18403190499975608
72,10.04,10.040734207999776,3.3319977050005036,ok,0.10848009000073944,0.040803842746835114,0.231080505999671
73,10.061,10.061712304999674,3.3100726170005146,ok,0.13267793300019548,0.04021982583544971,0.23161806899952353
74,10.081,10.082728168999893,3.290092626999467,ok,0.11177046400007384,0.04023175413923254,0.23127581399967312
75,10.101,10.10158758399939,3.2708295940001335,ok,0.09283947599942621,0.040227403075951323,0.23107957599950169
76,10.121,10.121392135999486,3.2511339869997755,ok,0.07716150200030825,0.04017665932911492,0.23107604999950127
77,10.141,10.142641166999965,3.2299765730003855,ok,0.0558387090004544,0.04017877136708262,0.23107855900070717
78,10.303,10.30379335499947,3.7862819259999014,ok,0.1168945019999228,0.0464476668734209,0.35608536699965043
79,10.343,10.343425769999158,3.7470686830001796,ok,0.11993206500028464,0.04591284877215348,0.35604281700034335
80,10.383,10.384782157999325,3.705414543999723,ok,0.12066151499948319,0.04537643575949454,0.3571670040000754
81,10.404,10.405685527999594,3.6840854359998048,ok,0.09971286600011808,0.04654990497402213,0.35582160300054966
82,10.424,10.424874662999173,3.665075694000734,ok,0.12156627200056391,0.044854326012659554,0.355869058999815
83,10.464,10.46453695999935,3.626019238000481,ok,0.08571017600024788,0.04597784131169351,0.35604386100021657
84,10.546,10.54658918899986,3.5807642919999125,ok,0.11257345099966187,0.043900921329116535,0.3560446640003647
85,10.566,10.568607068999881,3.558456364000449,ok,0.09342267300053209,0.045000124363634146,0.3558092140001463
86,10.707,10.707263353999224,3.594586485999571,ok,0.1121075290002409,0.04408175531645173,0.35604183499981445
87,10.728,10.729007129999445,3.572368666999864,ok,0.09374303500044334,0.04403292081012376,0.35603649400036375
88,10.828,10.828933041999335,3.596611109999685,ok,0.06808943699979864,0.04466451794936963,0.35445471499951964
89,10.889,10.890015379000033,3.5996034590007184,ok,0.06708879800044087,0.04471504944304118,0.35452854100003606
90,11.073,11.073849952999808,4.13491651699951,ok,0.09993604200008122,0.051075381050625916,0.39753716299946973
91,11.129,11.129223574999742,4.079651695000393,ok,0.08575532600025326,0.051868573038955694,0.3970163809999576
92,11.165,11.165806674999658,4.043354806000025,ok,0.09181127899955754,0.05001934963292103,0.3972857440003281
93,11.184,11.184972112999276,4.024585544999354,ok,0.11473547799960215,0.05077700529870656,0.39728659199954564
94,11.202,11.202887758999168,4.006332668999676,ok,0.09685849000015878,0.049486837822780814,0.39728796200051875
95,11.239,11.239195981999728,3.9689586020003844,ok,0.06381583500024135,0.04943180984810169,0.39727835999929084
96,11.312,11.313235874999918,4.146553853999649,ok,0.09953026600032899,0.05122786641771234,0.3970149630004016
97,11.331,11.332161469999846,4.127915832999861,ok,0.12156470399986574,0.05203033379220633,0.3972576169999229
98,11.367,11.367190093999852,4.091923025000142,ok,0.08650116200078628,0.050701173303791675,0.39702350799962005
99,11.386,11.38620628299941,4.07372282400047,ok,0.10803208400011499,0.05150226688312449,0.39701312800025335
100,11.422,11.422953063999557,4.037210200000118,ok,0.07437837500037858,0.0501622459999948,0.39728199599994696
101,11.551,11.55124916799923,4.136713744999724,ok,0.07877951699992991,0.051365939430381126,0.39728716100034944
102,11.643,11.644215872999666,4.400262608000048,ok,0.11601870300000883,0.054230586949369684,0.39701264399991487
103,11.661,11.661253126999327,4.383450098000139,ok,0.10196371400070348,0.05419582307593926,0.39728683400062437
104,11.808,11.808896724999613,4.398532315999546,ok,0.10586614400017424,0.05433733735442936,0.39701127100033773
105,11.827,11.827928034999786,4.379375638999591,ok,0.08992322300036903,0.05429652845568738,0.3970132879994708
106,12.017,12.017170985999655,4.97176378200038,ok,0.1027089609997347,0.06163336212658935,0.39749319500060665
107,12.034,12.03452331399967,4.953599721000501,ok,0.08859570100048586,0.06158194713924199,0.39713257899984455
108,12.135,12.135297329999958,4.894662860000608,ok,0.09931630500068422,0.06070023448100523,0.3971384240003317
109,12.169,12.170028605999505,4.860561766000501,ok,0.0693309970001792,0.06064819822785455,0.3975046460000158
110,12.185,12.18611173699992,4.844546772000285,ok,0.05328280100002303,0.060648722227850595,0.3975000419995922
111,12.236,12.236797829999887,4.835464287999457,ok,0.11128722000012203,0.05979937982277689,0.3974942490003741
112,12.27,12.270885593999992,4.801462121999975,ok,0.11818180199952621,0.059281814569623774,0.3974933310000779
113,12.337,12.33789670799979,4.734509241000524,ok,0.05430628700014495,0.05924288772152804,0.3975995430000694
114,12.438,12.438308073999906,5.1542109940000955,ok,0.10540140699959011,0.06390875745569534,0.41727499599983275
115,12.472,12.472920640999291,5.118519958999968,ok,0.07407076300023618,0.0638533939493674,0.4173406489999252
116,12.488,12.488922401999844,5.103308157999891,ok,0.05814934799946059,0.06386248718987374,0.4175043839995851
117,12.555,12.555666387999736,5.249098645999766,ok,0.07025537000026816,0.06555466116455297,0.4175086739996914
118,12.69,12.690814156999295,6.050680809000369,ok,0.10086203799983195,0.07531398401266715,0.6378299799998786
119,12.74,12.740217813999152,6.001787045999663,ok,0.09292190599990136,0.07479556867088785,0.6382124020001356
120,12.774,12.774790930999188,5.967318336000062,ok,0.10141703699991922,0.07425172949367348,0.6382587620000777
121,12.808,12.80886397499944,5.932290605999697,ok,0.11017239899956621,0.07369738450633341,0.6376440080002794
122,12.825,12.82535821700003,5.915871346000131,ok,0.09371826500046154,0.0736979385822716,0.6376869429996077
123,12.842,12.84334960399974,5.898086793999937,ok,0.11702651900031924,0.07317779158227818,0.6378006980003192
