idx,scheduled_t_rel_s,t_rel_s,latency_s,status,ttft_s,avg_tbt_s,worst_tbt_s,tokens_received,gen_chars,saw_done,finish_reason
49,8.303,8.303320127999541,1.4753563790000044,ok,0.040695424999285024,0.018159952658238523,0.027033955999286263,80,379,True,length
50,8.328,8.33027819400013,1.4845588079988374,ok,0.05696660099965811,0.018070446405061696,0.027053547000832623,80,410,True,length
51,8.353,8.35431269199944,1.4787349620000896,ok,0.046618550000857795,0.018127756645563875,0.026731317999292514,80,360,True,length
52,8.454,8.454848756999127,1.4820083320009871,ok,0.04717221800092375,0.018162082746820938,0.026733517001048313,80,313,True,length
53,8.554,8.5545854159991,1.4862974000006943,ok,0.05466973200054781,0.018121352063287844,0.026731747999292566,80,337,True,length
54,8.63,8.630588391999481,1.4906715369997983,ok,0.057187561000318965,0.018145088632910658,0.026020457999038626,80,346,True,length
55,8.655,8.656775528999788,1.48432038700048,ok,0.04507021000063105,0.018218067189864778,0.026044734999231878,80,325,True,length
56,8.781,8.78219958399859,1.502866222999728,ok,0.06248176400004013,0.018705886922066678,0.05407609699977911,78,326,True,length
57,9.0,9.000766318999013,1.5184586079994915,ok,0.05252012399978412,0.01855585593670806,0.026068520000990247,80,401,True,length
58,9.067,9.067714556000283,1.5280539200011845,ok,0.062327330000698566,0.018553167367078655,0.02615899000011268,80,341,True,length
59,9.09,9.090720505999343,1.5243902479996905,ok,0.05394872999931977,0.01861289426583253,0.026208860999759054,80,480,True,length
60,9.135,9.135290696000084,1.512615232000826,ok,0.0519896060013707,0.01848862483543771,0.026208799999949406,80,345,True,length
61,9.157,9.15902543700031,1.5074453140005062,ok,0.04742555099983292,0.018480949898730614,0.026204802001302596,80,394,True,length
62,9.179,9.179282045999571,1.5050444829994376,ok,0.04073806599990348,0.018535030189865857,0.026063442999657127,80,400,True,length
63,9.224,9.22435641300035,1.5203039170010015,ok,0.05809765400044853,0.01850861975949153,0.02663936799945077,80,604,True,length
64,9.247,9.247761204000199,1.516319972999554,ok,0.056459890000041923,0.018478936848093982,0.026987912999175023,80,480,True,length
65,9.269,9.269814572999167,1.5099773870006175,ok,0.04772894800044014,0.018509179075961214,0.026690348000556696,80,417,True,length
66,9.359,9.361146105999069,1.5266840549993503,ok,0.06899151699872164,0.018451351607595076,0.026906109000265133,80,438,True,length
67,9.381,9.382705025998803,1.5247563800003263,ok,0.06713178199970571,0.018450642012667922,0.026687384999604546,80,422,True,length
