idx,scheduled_t_rel_s,t_rel_s,latency_s,status,ttft_s,avg_tbt_s,worst_tbt_s
839,45.454,45.45490466499996,1.8790187249996961,ok,0.05847259199981636,0.02304458088607894,0.10021461199994519
840,45.554,45.555950349999875,2.0612691609994727,ok,0.06878982199941674,0.02522085436709248,0.14366043799964245
841,45.655,45.655554983,2.0268186220000644,ok,0.0674505990000398,0.02544600040260043,0.14363319800031604
842,45.756,45.75689713199972,2.0294170900006065,ok,0.06361411299985775,0.02488325541772507,0.14364374599972507
843,46.0,46.00107663400013,2.1428995569995095,ok,0.07190407699999923,0.026895651077920066,0.14365960200029804
844,46.101,46.10210607099998,2.1425004740003715,ok,0.06740162999994936,0.02626673467088201,0.14364238699999987
845,46.202,46.20286865300022,2.1070828969996,ok,0.06442843500008166,0.026527627038955292,0.14357842000026722
846,46.404,46.404200517999925,2.217519803999494,ok,0.11209675600002811,0.02665072348100935,0.1435607280000113
847,46.429,46.43110843799968,2.1904911609999544,ok,0.0888102720000461,0.02729420818181475,0.14364432500042312
848,46.454,46.454296670000076,2.1675504310005635,ok,0.06557351399987965,0.026607109278486432,0.1436482970002544
849,46.529,46.53010151000035,2.21240423800009,ok,0.05827169399981358,0.028721176866674795,0.1436435920004442
850,46.655,46.65589561900015,2.280133158999888,ok,0.07202349599992885,0.027950440075948813,0.1436451070003386
851,46.781,46.781790689000445,2.2496154729997215,ok,0.11109572099940124,0.027069669443047627,0.14364283999930194
852,46.832,46.833064424999975,2.198279432000163,ok,0.06269689399960043,0.027032368113925512,0.14364248299989413
853,47.0,47.000601186000495,2.5018477309995433,ok,0.06339666100029717,0.03086612982278433,0.14364280000063445
854,47.076,47.07621266299975,2.5995185929996296,ok,0.10913637799967546,0.03152362394937398,0.1436421819998941
855,47.126,47.12699233500007,2.5490604579999854,ok,0.09936002300037217,0.031008647708864672,0.14364373099942895
856,47.151,47.15180247100034,2.5237929340000846,ok,0.0775097719997575,0.030965279784808605,0.14370269799928792
857,47.252,47.25312931700046,2.553037871000015,ok,0.06392211100046552,0.03150745194935679,0.14370662900000752
858,47.328,47.32826722200025,2.5130647870000757,ok,0.10041342099975736,0.030539706886078353,0.10448554300000978
859,47.379,47.379577435999636,2.46158669200031,ok,0.09054075300082332,0.030013033620244767,0.10454692999974213
860,47.404,47.40422044600018,2.4367480580003757,ok,0.10740723999970214,0.029484998113926113,0.10477329599962104
861,47.429,47.42986146800013,2.411417306000658,ok,0.08527559800040763,0.029444637329118138,0.10443413600023632
862,47.554,47.554262743000436,2.348441725000157,ok,0.06498275000012654,0.028904183455698687,0.10353210900029808
863,47.706,47.70805580199976,2.306547835000856,ok,0.061590027999955055,0.028416866822790557,0.10386893800023245
864,47.781,47.781865308000306,2.3041154200000165,ok,0.05974174299990409,0.028409484924056035,0.1037341639994338
865,48.0,48.000992856000266,2.4877368390007177,ok,0.10689282700059266,0.0301369539620282,0.10430219599948032
866,48.025,48.02560601799996,2.463574148000589,ok,0.085721604000355,0.03009916143038268,0.10437356700003875
867,48.05,48.0506457649999,2.4387424120004653,ok,0.060715233999872,0.030101407886083703,0.1043731290001233
868,48.177,48.17750343100033,2.4484252790007304,ok,0.0688358290008182,0.030121071797468545,0.10431903899916506
869,48.303,48.30461470099999,2.443458843999906,ok,0.06049084100050095,0.03016378858227412,0.10424801200042566
870,48.404,48.40453243699994,2.5315206240002226,ok,0.06319906800035824,0.031244198468351598,0.10427872600030241
871,48.554,48.5545064300004,2.4943006029998287,ok,0.10602617400036252,0.03023095100000123,0.10331354400022974
872,48.579,48.57933088899972,2.4697857239998484,ok,0.12556502200004616,0.029673432759490068,0.10330068999974173
873,48.63,48.63045822000004,2.418722591000005,ok,0.07920645000012883,0.029613930430381907,0.10330976499972166
874,48.655,48.655587713000386,2.3937291210004332,ok,0.05411150800046016,0.029615211746837487,0.10330275900014385
875,48.756,48.75711312099975,2.455191852000098,ok,0.07264682599998196,0.030158471949372267,0.10331976199995552
876,48.832,48.83294188800028,2.4943348959996,ok,0.06958996100001968,0.03069251245569485,0.10331972799940559
877,49.025,49.02515824800048,2.531270214999495,ok,0.09881972099992709,0.030790184734173578,0.10332186800042109
