timestamp_s,prompt_length,max_new_tokens,second,index_in_second
19.807000,90,80,63,26
19.830000,52,80,63,27
19.842000,126,80,63,28
19.878000,71,80,63,29
19.890000,61,80,63,30
19.902000,60,80,63,31
20.047000,32,80,64,0
20.059000,63,80,64,1
20.071000,81,80,64,2
20.083000,115,80,64,3
20.119000,75,80,64,4
20.143000,52,80,64,5
20.166000,35,80,64,6
20.190000,101,80,64,7
20.202000,100,80,64,8
20.214000,59,80,64,9
20.226000,103,80,64,10
20.285000,60,80,64,11
20.320000,68,80,64,12
20.344000,95,80,64,13
20.368000,41,80,64,14
20.380000,110,80,64,15
20.404000,60,80,64,16
20.416000,129,80,64,17
20.463000,78,80,64,18
20.498000,53,80,64,19
20.510000,64,80,64,20
20.569000,53,80,64,21
20.581000,81,80,64,22
20.605000,103,80,64,23
20.617000,87,80,64,24
20.629000,57,80,64,25
20.665000,113,80,64,26
20.689000,65,80,64,27
20.701000,73,80,64,28
20.724000,90,80,64,29
20.830000,65,80,64,30
20.842000,72,80,64,31
20.878000,99,80,64,32
20.914000,68,80,64,33
21.090000,88,80,65,0
21.112000,66,80,65,1
21.157000,82,80,65,2
21.235000,72,80,65,3
21.246000,116,80,65,4
21.257000,75,80,65,5
21.302000,86,80,65,6
21.314000,104,80,65,7
21.336000,130,80,65,8
21.359000,54,80,65,9
21.370000,78,80,65,10
21.437000,136,80,65,11
21.460000,93,80,65,12
21.526000,94,80,65,13
21.560000,71,80,65,14
21.605000,96,80,65,15
21.728000,98,80,65,16
21.785000,65,80,65,17
21.841000,104,80,65,18
21.896000,57,80,65,19
22.011000,7,80,66,0
22.022000,117,80,66,1
22.045000,82,80,66,2
22.067000,96,80,66,3
22.079000,108,80,66,4
22.168000,136,80,66,5
22.179000,45,80,66,6
22.201000,70,80,66,7
22.224000,143,80,66,8
22.235000,111,80,66,9
22.269000,72,80,66,10
22.280000,116,80,66,11
22.370000,84,80,66,12
22.392000,56,80,66,13
22.471000,71,80,66,14
22.526000,6,80,66,15
22.537000,121,80,66,16
22.549000,9,80,66,17
22.582000,101,80,66,18
22.594000,79,80,66,19
22.605000,67,80,66,20
22.627000,111,80,66,21
22.672000,86,80,66,22
22.684000,62,80,66,23
22.717000,73,80,66,24
22.751000,85,80,66,25
22.785000,99,80,66,26
22.807000,19,80,66,27
22.818000,63,80,66,28
22.874000,18,80,66,29
22.896000,13,80,66,30
22.907000,78,80,66,31
22.919000,83,80,66,32
23.022000,34,80,67,0
23.045000,38,80,67,1
23.056000,59,80,67,2
23.079000,103,80,67,3
23.124000,85,80,67,4
23.179000,73,80,67,5
23.314000,17,80,67,6
23.381000,31,80,67,7
23.415000,128,80,67,8
23.437000,119,80,67,9
23.449000,110,80,67,10
23.471000,121,80,67,11
23.482000,91,80,67,12
23.493000,49,80,67,13
23.549000,70,80,67,14
23.560000,100,80,67,15
23.616000,45,80,67,16
23.684000,79,80,67,17
23.740000,57,80,67,18
23.762000,56,80,67,19
23.773000,21,80,67,20
23.785000,91,80,67,21
23.807000,37,80,67,22
23.818000,98,80,67,23
23.852000,66,80,67,24
23.863000,56,80,67,25
23.885000,94,80,67,26
23.896000,99,80,67,27
23.919000,113,80,67,28
23.941000,125,80,67,29
24.012000,57,80,68,0
24.035000,56,80,68,1
24.083000,21,80,68,2
24.107000,70,80,68,3
24.131000,170,80,68,4
